Stock,Retard,Round,Demande_Client,typeDemande,OrderRound,qt_envoye,partie_numero
277,0,0,163,1,0,0,0,
243,0,1,163,1,0,34,0,
365,0,2,163,1,122,0,0,
248,0,3,163,1,362,479,0,
106,0,4,163,1,22,164,0,
415,0,5,163,1,309,0,0,
262,0,6,163,1,207,360,0,
521,0,7,163,1,345,86,0,
219,0,8,163,1,72,374,0,
460,0,9,163,1,241,0,0,
223,0,10,163,1,74,311,0,
258,0,11,163,1,225,190,0,
510,0,12,163,1,252,0,0,
478,0,13,163,1,1,33,0,
575,0,14,163,1,97,0,0,
392,0,15,163,1,325,508,0,
128,0,16,163,1,0,264,0,
113,0,17,163,1,157,172,0,
462,0,18,163,1,349,0,0,
264,0,19,163,1,51,249,0,
35,0,20,163,1,22,251,0,
375,0,21,163,1,382,42,0,
520,0,22,163,1,167,22,0,
329,0,23,163,1,69,260,0,
212,0,24,163,1,40,157,0,
597,0,25,163,1,385,0,0,
358,0,26,163,1,50,289,0,
284,0,27,163,1,205,279,0,
473,0,28,163,1,222,33,0,
472,0,29,163,1,33,34,0,
728,0,30,163,1,256,0,0,
854,0,31,163,1,305,179,0,
1103,0,32,163,1,364,115,0,
894,0,33,163,1,133,342,0,
1528,0,34,163,1,734,100,0,
1142,0,35,163,1,0,386,0,
1272,0,36,163,1,130,0,0,
956,0,37,163,1,90,406,0,
1120,0,38,163,1,380,216,0,
723,0,39,163,1,0,397,0,
1033,0,40,163,1,717,407,0,
1495,0,41,163,1,529,67,0,
1105,0,42,163,1,0,390,0,
1426,0,43,163,1,321,0,0,
1426,0,44,163,1,0,0,0,
1899,0,45,163,1,993,520,0,
1558,0,46,163,1,0,341,0,
2107,0,47,163,1,549,0,0,
2009,0,48,163,1,0,98,0,
1972,0,49,163,1,300,337,0,
1427,0,50,163,1,61,606,0,
1567,0,51,163,1,140,0,0,
1466,0,52,163,1,0,101,0,
2254,0,53,163,1,788,0,0,
2074,0,54,163,1,235,415,0,
2287,0,55,163,1,289,76,0,
2287,0,56,163,1,0,0,0,
2255,0,57,163,1,243,275,0,
2346,0,58,163,1,361,270,0,
2526,0,59,163,1,385,205,0,
2661,0,60,163,1,223,88,0,
2780,0,61,163,1,407,288,0,
2851,0,62,163,1,71,0,0,
2666,0,63,163,1,180,365,0,
2296,0,64,163,1,0,370,0,
2225,0,65,163,1,350,421,0,
2273,0,66,163,1,251,203,0,
3043,0,67,163,1,770,0,0,
2811,0,68,163,1,0,232,0,
2867,0,69,163,1,280,224,0,
2695,0,70,163,1,258,430,0,
2716,0,71,163,1,21,0,0,
3104,0,72,163,1,709,321,0,
2793,0,73,163,1,0,311,0,
2690,0,74,163,1,359,364,0,
2303,0,75,163,1,265,665,0,
2777,0,76,163,1,389,0,0,
2468,0,77,163,1,0,309,0,
2685,0,78,163,1,274,57,0,
2483,0,79,163,1,132,318,0,
2597,0,80,163,1,551,203,0,
2415,0,81,163,1,0,182,0,
2483,0,82,163,1,211,343,0,
2447,0,83,163,1,320,97,0,
2623,0,84,163,1,122,213,0,
2749,0,85,163,1,181,97,0,
2353,0,86,163,1,0,396,0,
2671,0,87,163,1,409,91,0,
2799,0,88,163,1,556,309,0,
2687,0,89,163,1,0,231,0,
2713,0,90,163,1,286,260,0,
3059,0,91,163,1,346,0,0,
3039,0,92,163,1,323,274,0,
2719,0,93,163,1,276,333,0,
2659,0,94,163,1,592,374,0,
2905,0,95,163,1,0,0,0,
2818,0,96,163,1,40,395,0,
2653,0,97,163,1,207,377,0,
2544,0,98,163,1,35,235,0,
2817,0,99,163,1,291,18,0,
2535,0,100,163,1,0,282,0,

