Stock,Retard,Round,Demande_Client,typeDemande,OrderRound,qt_envoye,partie_numero
167,0,0,163,1,0,110,0,
0,89,1,163,1,0,167,0,
35,0,2,163,1,289,254,0,
0,77,3,163,1,0,35,0,
0,72,4,163,1,36,36,0,
58,0,5,163,1,292,234,0,
253,0,6,163,1,286,91,0,
176,0,7,163,1,112,189,0,
103,0,8,163,1,114,187,0,
357,0,9,163,1,491,237,0,
66,0,10,163,1,0,291,0,
182,0,11,163,1,331,215,0,
0,2,12,163,1,0,182,0,
0,215,13,163,1,85,85,0,
0,189,14,163,1,0,0,0,
0,162,15,163,1,17,17,0,
0,134,16,163,1,190,190,0,
0,317,17,163,1,0,0,0,
106,0,18,163,1,258,152,0,
58,0,19,163,1,112,160,0,
185,0,20,163,1,298,171,0,
144,0,21,163,1,214,255,0,
341,0,22,163,1,401,204,0,
626,0,23,163,1,379,94,0,
406,0,24,163,1,0,220,0,
354,0,25,163,1,271,323,0,
140,0,26,163,1,41,255,0,
81,0,27,163,1,141,200,0,
0,186,28,163,1,0,81,0,
47,0,29,163,1,250,203,0,
0,63,30,163,1,0,47,0,
187,0,31,163,1,757,252,0,
6,0,32,163,1,0,296,0,
260,0,33,163,1,229,88,0,
63,0,34,163,1,89,297,0,
0,97,35,163,1,62,204,0,
0,225,36,163,1,4,4,0,
20,0,37,163,1,211,191,0,
0,79,38,163,1,0,20,0,
0,22,39,163,1,303,303,0,
36,0,40,163,1,125,89,0,
229,0,41,163,1,359,166,0,
196,0,42,163,1,152,185,0,
249,0,43,163,1,197,144,0,
452,0,44,163,1,321,118,0,
249,0,45,163,1,0,203,0,
61,0,46,163,1,54,242,0,
0,149,47,163,1,103,164,0,
200,0,48,163,1,405,205,0,
270,0,49,163,1,360,290,0,
389,0,50,163,1,248,129,0,
205,0,51,163,1,0,184,0,
507,0,52,163,1,595,293,0,
702,0,53,163,1,357,162,0,
425,0,54,163,1,0,277,0,
465,0,55,163,1,176,136,0,
673,0,56,163,1,353,145,0,
518,0,57,163,1,0,155,0,
1072,0,58,163,1,753,199,0,
892,0,59,163,1,0,180,0,
971,0,60,163,1,185,106,0,
786,0,61,163,1,0,185,0,
702,0,62,163,1,0,84,0,
1049,0,63,163,1,630,283,0,
886,0,64,163,1,86,249,0,
985,0,65,163,1,389,290,0,
853,0,66,163,1,27,159,0,
613,0,67,163,1,37,277,0,
729,0,68,163,1,386,270,0,
530,0,69,163,1,9,208,0,
305,0,70,163,1,20,245,0,
104,0,71,163,1,8,209,0,
108,0,72,163,1,198,194,0,
148,0,73,163,1,245,205,0,
156,0,74,163,1,328,320,0,
0,78,75,163,1,0,156,0,
297,0,76,163,1,407,110,0,
38,0,77,163,1,0,259,0,
184,0,78,163,1,323,177,0,
244,0,79,163,1,170,110,0,
479,0,80,163,1,320,85,0,
455,0,81,163,1,297,321,0,
597,0,82,163,1,395,253,0,
839,0,83,163,1,393,151,0,
943,0,84,163,1,246,142,0,
855,0,85,163,1,0,88,0,
834,0,86,163,1,211,232,0,
592,0,87,163,1,0,242,0,
837,0,88,163,1,388,143,0,
1078,0,89,163,1,353,112,0,
980,0,90,163,1,218,316,0,
952,0,91,163,1,238,266,0,
1147,0,92,163,1,338,143,0,
1199,0,93,163,1,358,306,0,
983,0,94,163,1,67,283,0,
827,0,95,163,1,0,156,0,
961,0,96,163,1,421,287,0,
878,0,97,163,1,0,83,0,
886,0,98,163,1,164,156,0,
796,0,99,163,1,216,306,0,
1372,0,100,163,1,724,148,0,

