Stock,Retard,Round,Demande_Client,typeDemande,OrderRound,qt_envoye,partie_numero
277,0,0,163,1,0,0,0,
311,0,1,163,1,34,0,0,
22,0,2,163,1,0,289,0,
501,0,3,163,1,479,0,0,
629,0,4,163,1,164,36,0,
337,0,5,163,1,0,292,0,
411,0,6,163,1,360,286,0,
385,0,7,163,1,86,112,0,
645,0,8,163,1,374,114,0,
154,0,9,163,1,0,491,0,
465,0,10,163,1,311,0,0,
324,0,11,163,1,190,331,0,
324,0,12,163,1,0,0,0,
272,0,13,163,1,33,85,0,
272,0,14,163,1,0,0,0,
763,0,15,163,1,508,17,0,
837,0,16,163,1,264,190,0,
1009,0,17,163,1,172,0,0,
751,0,18,163,1,0,258,0,
888,0,19,163,1,249,112,0,
841,0,20,163,1,251,298,0,
669,0,21,163,1,42,214,0,
290,0,22,163,1,22,401,0,
171,0,23,163,1,260,379,0,
328,0,24,163,1,157,0,0,
57,0,25,163,1,0,271,0,
305,0,26,163,1,289,41,0,
443,0,27,163,1,279,141,0,
476,0,28,163,1,33,0,0,
260,0,29,163,1,34,250,0,
260,0,30,163,1,0,0,0,
0,318,31,163,1,179,439,0,
0,203,32,163,1,115,115,0,
0,90,33,163,1,342,342,0,
0,79,34,163,1,100,100,0,
245,0,35,163,1,386,141,0,
241,0,36,163,1,0,4,0,
436,0,37,163,1,406,211,0,
652,0,38,163,1,216,0,0,
746,0,39,163,1,397,303,0,
1028,0,40,163,1,407,125,0,
736,0,41,163,1,67,359,0,
974,0,42,163,1,390,152,0,
777,0,43,163,1,0,197,0,
456,0,44,163,1,0,321,0,
976,0,45,163,1,520,0,0,
1263,0,46,163,1,341,54,0,
1160,0,47,163,1,0,103,0,
853,0,48,163,1,98,405,0,
830,0,49,163,1,337,360,0,
1188,0,50,163,1,606,248,0,
1188,0,51,163,1,0,0,0,
694,0,52,163,1,101,595,0,
337,0,53,163,1,0,357,0,
752,0,54,163,1,415,0,0,
652,0,55,163,1,76,176,0,
299,0,56,163,1,0,353,0,
574,0,57,163,1,275,0,0,
91,0,58,163,1,270,753,0,
296,0,59,163,1,205,0,0,
199,0,60,163,1,88,185,0,
487,0,61,163,1,288,0,0,
487,0,62,163,1,0,0,0,
222,0,63,163,1,365,630,0,
506,0,64,163,1,370,86,0,
538,0,65,163,1,421,389,0,
714,0,66,163,1,203,27,0,
677,0,67,163,1,0,37,0,
523,0,68,163,1,232,386,0,
738,0,69,163,1,224,9,0,
1148,0,70,163,1,430,20,0,
1140,0,71,163,1,0,8,0,
1263,0,72,163,1,321,198,0,
1329,0,73,163,1,311,245,0,
1365,0,74,163,1,364,328,0,
2030,0,75,163,1,665,0,0,
1623,0,76,163,1,0,407,0,
1932,0,77,163,1,309,0,0,
1666,0,78,163,1,57,323,0,
1814,0,79,163,1,318,170,0,
1697,0,80,163,1,203,320,0,
1582,0,81,163,1,182,297,0,
1530,0,82,163,1,343,395,0,
1234,0,83,163,1,97,393,0,
1201,0,84,163,1,213,246,0,
1298,0,85,163,1,97,0,0,
1483,0,86,163,1,396,211,0,
1574,0,87,163,1,91,0,0,
1495,0,88,163,1,309,388,0,
1373,0,89,163,1,231,353,0,
1415,0,90,163,1,260,218,0,
1177,0,91,163,1,0,238,0,
1113,0,92,163,1,274,338,0,
1088,0,93,163,1,333,358,0,
1395,0,94,163,1,374,67,0,
1395,0,95,163,1,0,0,0,
1369,0,96,163,1,395,421,0,
1746,0,97,163,1,377,0,0,
1817,0,98,163,1,235,164,0,
1619,0,99,163,1,18,216,0,
1177,0,100,163,1,282,724,0,

